Student_ID,Age,City,Study_Hours_Per_Day,Attendance_Percentage,Previous_Score,Final_Score,Sh_normalize,fs_normalize,Performance_Level,pass/fail
1,14,Mumbai,0.6244087169589212,62.24089132495286,81,61,0.010236208474736413,5959.2377539546715,Midium,pass
2,27,Mumbai,4.340697937244608,100.0,45,83,0.052297565508971175,1587.0719639093354,High,pass
3,22,Ahmedabad,2.1987183139845348,90.1870611201341,41,67,0.03281669125350052,2041.6439756964585,Midium,pass
4,18,Mumbai,5.338795928070874,67.62363075911308,54,35,0.15253702651631068,229.4524863853792,low,fail
5,15,Bangalore,1.807748217537436,91.33459560328826,81,55,0.03286814940977156,1673.3525004498347,Midium,pass
6,28,Delhi,5.682033035768495,100.0,82,89,0.06384306781762354,1394.0432852356137,High,pass
7,14,Delhi,4.5400604004102405,72.9492616498106,52,40,0.11350151001025602,352.4182188975776,low,pass
8,30,Ahmedabad,7.525474915525509,97.37342854914002,45,39,0.19296089526988483,202.11349012167796,low,fail
9,26,Pune,1.5314070810949494,90.1870611201341,86,37,0.04138938057013377,893.9491118332631,low,fail
10,30,Ahmedabad,3.0579976328769387,63.10090327011646,68,87,0.035149398079045276,2475.149070955672,High,pass
11,18,Pune,1.351051409304418,91.88127789408888,82,57,0.02370265630358628,2404.793761084733,Midium,pass
12,18,Delhi,7.435202137089221,92.4381072966064,71,87,0.08546209352976117,1017.9951883545103,High,pass
13,30,Ahmedabad,7.080045150357358,98.2457940898924,87,71,0.0997189457796811,712.0011091660285,High,pass
14,28,Bangalore,2.4345622078636677,100.0,68,51,0.04773651387967976,1068.3645673948015,Midium,pass
15,11,Mumbai,5.449880345256343,100.0,43,35,0.1557108670073241,224.77557714936955,low,fail
16,15,Pune,4.5400604004102405,90.97802089807172,34,85,0.05341247529894401,1591.388519709374,High,pass
17,30,Mumbai,4.664006086995967,79.37738837647476,64,79,0.05903805173412617,1338.120037493295,High,pass
18,10,Mumbai,4.4723793376700485,100.0,47,38,0.11769419309658022,322.8706446784259,low,fail
19,29,Ahmedabad,2.3138921817533875,90.1870611201341,38,96,0.02410304355993112,3982.8994940535363,High,pass
20,28,Mumbai,1.198270758544244,86.33828524233817,87,99,0.012103745035800445,8179.286634605893,High,pass
21,10,Bangalore,7.229118184649951,90.1870611201341,46,66,0.10953209370681743,602.5631188668866,Midium,pass
22,30,Mumbai,7.253135428724978,90.1870611201341,36,68,0.10666375630477909,637.5173944343196,Midium,pass
23,19,Ahmedabad,5.2482609295495095,100.0,75,73,0.07189398533629465,1015.3839665242065,High,pass
24,13,Bangalore,3.0427234328652557,100.0,42,60,0.05071205721442093,1183.1505818489625,Midium,pass
25,10,Delhi,3.119071809594957,100.0,69,68,0.04586870308227878,1482.4923189570532,Midium,pass
26,28,Mumbai,5.944667591526796,84.53717666485619,71,88,0.0675530408128045,1302.6800709660997,High,pass
27,10,Ahmedabad,7.228326949644328,70.39765920425074,38,37,0.19536018782822506,189.39375730193862,low,fail
28,19,Delhi,7.15314818198838,69.38622256026517,79,84,0.08515652597605214,986.4188215430796,High,pass
29,30,Delhi,4.5400604004102405,75.01457388987572,56,46,0.09869696522630958,466.0730944920464,Midium,pass
30,29,Pune,4.5400604004102405,92.95359988236724,34,99,0.0458591959637398,2158.781852134474,High,pass
31,19,Bangalore,1.1310497374628663,100.0,58,88,0.01285283792571439,6846.736923675069,High,pass
32,30,Mumbai,1.7122153557096031,99.61184260306388,66,39,0.043902957838707776,888.3228356339808,low,fail
33,24,Ahmedabad,7.239156413953094,76.79603381675656,67,91,0.07955116938409994,1143.917816727762,High,pass
34,30,Pune,5.048217947446925,90.1870611201341,37,51,0.0989846656362142,515.2313206515627,Midium,pass
35,30,Bangalore,4.5400604004102405,100.0,94,81,0.05605012840012642,1445.1349588668793,High,pass
36,17,Pune,1.2610365714952407,93.26124315068404,46,57,0.022123448622723522,2576.4518440155816,Midium,pass
37,23,Bangalore,5.476263268310419,96.70324477406112,74,48,0.11408881808980038,420.724842308549,Midium,pass
38,22,Bangalore,0.5379618788466402,85.1760037456674,33,85,0.0063289632805487075,13430.319664081017,High,pass
39,22,Mumbai,1.70606038563124,74.86385937006945,65,72,0.02369528313376722,3038.579433448323,High,pass
40,26,Bangalore,4.615503420249396,81.35836071907569,60,98,0.04709697367601424,2080.8131043441094,High,pass
41,19,Pune,5.6892139826952,100.0,48,72,0.07901686087076668,911.1979292338269,High,pass
42,30,Bangalore,5.389709446269504,60.86360931778536,90,84,0.06416320769368457,1309.161480844542,High,pass
43,27,Mumbai,4.5400604004102405,66.96435843041498,83,64,0.07093844375641001,902.1906403777987,Midium,pass
44,30,Mumbai,5.841344160106519,90.1870611201341,68,85,0.06872169600125316,1236.8728501469172,High,pass
45,10,Pune,2.2793681562260004,62.44372813913821,48,97,0.023498640785835054,4127.898327569289,High,pass
